name,gender,doj,notes
Shiro Yoshida,MALE,2013,Died in Uncanny_Avengers_Vol_1_22. Returned when 'he was able to use his power to transform his body into a state of pure energy '
,MALE,2013,Died in New_Avengers_Vol_3_32
,FEMALE,2013,Died in New_Avengers_Vol_3_32
Adam,MALE,2013,Died in New_Avengers_Vol_3_32
Kevin Kale Connor,MALE,2013,Died in New_Avengers_Vol_3_32
Sam Alexander,MALE,2015,NA
America Chavez,FEMALE,2013,NA
Loki Laufeyson,MALE,2013,NA
David Alleyne,MALE,2013,NA
"Nicholas Fury, Jr., Marcus Johnson",MALE,2013,NA
Phillip Coulson,MALE,2013,NA
Tony Masters,MALE,2013,NA
Victor Mancha,MALE,2013,Died in Avengers_A.I._Vol_1_4. Returned in Avengers_A.I._Vol_1_9.
Monica Chang,FEMALE,2013,NA
,MALE,2013,NA
Alexis,FEMALE,2013,NA
Eric Brooks,MALE,2013,NA
Adam Brashear,MALE,2014,NA
Victor Alvarez,MALE,2014,NA
Ava Ayala,FEMALE,2014,NA
Kaluu,MALE,2015,NA
